Date,Code,SampleID,type,std,i161,i196,Ratio,calBatch
2024-06-26T00:00:00Z,2427,cal4.1,cal,va4.6,1616634,3728033,0.4336426206527678,a
2024-06-26T00:00:00Z,2428,cal4.2,cal,va4.6,3078005,3910856,0.7870412513270753,a
2024-06-26T00:00:00Z,2429,cal4.3,cal,va4.6,8208095,4115739,1.9943186387669383,a
2024-06-26T00:00:00Z,2430,cal4.4,cal,va4.6,8418364,3864935,2.178138571541307,a
2024-06-26T00:00:00Z,2431,J193,polcal,va4.6,1056211,4202578,0.2513245441250585,a
2024-06-26T00:00:00Z,2432,J194,polcal,va4.6,3443865,4197639,0.8204290554761855,a
2024-06-26T00:00:00Z,2433,J195,polcal,va4.6,6464148,4220468,1.531618768345122,a
2024-06-26T00:00:00Z,2434,J196,polcal,va4.6,9289665,4323140,2.1488235402970988,a
2024-06-26T00:00:00Z,2435,M001,sample,va4.6,2120368,4046166,0.5240437490701073,a
2024-06-26T00:00:00Z,2436,M004,sample,va4.6,2194092,4293484,0.5110283396887003,a
2024-06-26T00:00:00Z,2437,M007,sample,va4.6,2205276,4293484,0.5136332172193957,a
2024-06-26T00:00:00Z,2438,M010,sample,va4.6,1996480,4203474,0.4749595215766768,a
2024-06-26T00:00:00Z,2439,M013,sample,va4.6,1324520,4370063,0.3030894520284948,a
2024-06-26T00:00:00Z,2440,M016,sample,va4.6,1278467,4331943,0.2951255360469886,a
2024-06-26T00:00:00Z,2441,M019,sample,va4.6,1385681,4250542,0.32600101351780547,a
2024-06-26T00:00:00Z,2442,M022,sample,va4.6,1815106,3793987,0.47841650485360127,a
2024-06-26T00:00:00Z,2443,M025,sample,va4.6,1314899,3947398,0.33310525059798884,a
2024-06-26T00:00:00Z,2444,M028,sample,va4.6,1268799,4097359,0.3096626387875702,a
2024-06-26T00:00:00Z,2445,M031,sample,va4.6,1499398,4185782,0.3582121572504254,a
2024-06-26T00:00:00Z,2446,M034,sample,va4.6,1180955,4309600,0.2740289121960275,a
2024-06-26T00:00:00Z,2447,M037,sample,va4.6,1379959,4115740,0.3352881863285825,a
2024-06-26T00:00:00Z,2448,M040,sample,va4.6,1482849,4211705,0.35207807764313975,a
2024-06-26T00:00:00Z,2449,M043,sample,va4.6,1638417,4091767,0.4004179612377733,a
2024-06-26T00:00:00Z,2450,M046,sample,va4.6,1417711,3988040,0.3554906670946129,a
2024-06-27T00:00:00Z,2451,BLK,blk,NA,NA,NA,NA,a
2024-06-27T00:00:00Z,2452,cal4.1,cal,va4.6,1325285,3755758,0.3528675170231948,a
2024-06-27T00:00:00Z,2453,cal4.2,cal,va4.6,2652613,3935585,0.6740072949764775,a
2024-06-27T00:00:00Z,2454,cal4.3,cal,va4.6,6512968,3731734,1.7452926709138432,a
2024-06-27T00:00:00Z,2455,cal4.4,cal,va4.6,7596373,4125799,1.841188337095433,a
2024-06-27T00:00:00Z,2456,J197,polcal,va4.6,988076,4056026,0.24360691967950895,a
2024-06-27T00:00:00Z,2457,J198,polcal,va4.6,2737083,4264314,0.6418577525013401,a
2024-06-27T00:00:00Z,2458,J199,polcal,va4.6,5560793,4415210,1.259462856806358,a
2024-06-27T00:00:00Z,2459,J200,NA,va4.6,NA,NA,NA,a
2024-06-27T00:00:00Z,2460,M049,sample,va4.6,1452482,3903811,0.3720677051219949,a
2024-06-27T00:00:00Z,2461,M052,sample,va4.6,1130218,4025803,0.28074349390668146,a
2024-06-27T00:00:00Z,2462,M055,sample,va4.6,1656172,4062710,0.4076520352178718,a
2024-06-27T00:00:00Z,2463,M058,sample,va4.6,1427576,4165624,0.3427039982485217,a
2024-06-27T00:00:00Z,2464,M061,sample,va4.6,1009493,3895469,0.25914543280924585,a
2024-06-27T00:00:00Z,2465,M064,sample,va4.6,1211081,3945403,0.30696002410907075,a
2024-06-27T00:00:00Z,2466,M067,sample,va4.6,999204,3899230,0.25625674812719434,a
2024-06-27T00:00:00Z,2467,M070,sample,va4.6,1011865,3964602,0.25522486241998565,a
2024-06-27T00:00:00Z,2468,M002,sample,va4.6,1859355,3861349,0.481529900560659,a
2024-06-27T00:00:00Z,2469,M005,sample,va4.6,1785378,4074269,0.4382081791850268,a
2024-06-27T00:00:00Z,2470,M008,sample,va4.6,1443282,3972525,0.3633160269601828,a
2024-06-27T00:00:00Z,2471,M011,sample,va4.6,1138503,3851944,0.2955658233868405,a
2024-06-27T00:00:00Z,2472,M014,sample,va4.6,1149315,3835748,0.2996325618888415,a
2024-06-27T00:00:00Z,2473,M017,sample,va4.6,1191126,3980916,0.299209026264307,a
2024-06-27T00:00:00Z,2474,M020,sample,va4.6,1520922,3755180,0.405019732742505,a
2024-06-27T00:00:00Z,2475,M023,sample,va4.6,1010890,3559715,0.2839805995704712,a
2024-06-28T00:00:00Z,2476,blk,sample,NA,NA,NA,NA,a
2024-06-28T00:00:00Z,2477,cal4.1,cal,va4.6,1413593,3279851,0.43099305425764767,a
2024-06-28T00:00:00Z,2478,cal4.2,cal,va4.6,3825895,3656125,1.0464344080139492,a
2024-06-28T00:00:00Z,2479,cal4.3,cal,va4.6,8731876,3696141,2.3624304375834146,a
2024-06-28T00:00:00Z,2480,cal4.4,cal,va4.6,9900425,3728130,2.6556007971825015,a
2024-06-28T00:00:00Z,2481,J201,polcal,va4.6,831664,3891255,0.21372641988253147,a
2024-06-28T00:00:00Z,2482,J202,polcal,va4.6,2659038,3863349,0.6882727913010189,a
2024-06-28T00:00:00Z,2483,J203,polcal,va4.6,5050981,4022842,1.2555752873217492,a
2024-06-28T00:00:00Z,2484,J204,polcal,va4.6,7609239,4553017,1.6712520511124822,a
2024-06-28T00:00:00Z,2485,M026,sample,va4.6,1046920,3979005,0.2631110038816237,a
2024-06-28T00:00:00Z,2486,M029,sample,va4.6,1103364,4286960,0.2573767891466214,a
2024-06-28T00:00:00Z,2487,M032,sample,va4.6,1092120,4052875,0.2694679702680196,a
2024-06-28T00:00:00Z,2488,M035,sample,va4.6,1207894,4163296,0.29012926296857106,a
2024-06-28T00:00:00Z,2489,M038,sample,va4.6,1224560,4166447,0.2939098949296607,a
2024-06-28T00:00:00Z,2490,M041,sample,va4.6,1106490,4035945,0.27415884012294517,a
2024-06-28T00:00:00Z,2491,M044,sample,va4.6,1273748,4102792,0.31045882901204835,a
2024-06-28T00:00:00Z,2492,M047,sample,va4.6,910541,3942267,0.23096888161050483,a
2024-06-28T00:00:00Z,2493,M050,sample,va4.6,1071178,3956563,0.2707344733295034,a
2024-06-28T00:00:00Z,2494,M053,sample,va4.6,1079357,4067852,0.26533831614326187,a
2024-06-28T00:00:00Z,2495,M056,sample,va4.6,1269690,4056517,0.31300004412652527,a
2024-06-28T00:00:00Z,2496,M059,sample,va4.6,1220584,4087246,0.2986323798469679,a
2024-06-28T00:00:00Z,2497,M062,sample,va4.6,991287,4062837,0.24398886787729854,a
2024-06-28T00:00:00Z,2498,M065,sample,va4.6,905342,4297276,0.21067811329781935,a
2024-06-28T00:00:00Z,2499,M068,sample,va4.6,911069,4230112,0.2153770396623068,a
2024-06-28T00:00:00Z,2500,M071,sample,va4.6,908012,4271855,0.21255684006128486,a
2024-06-30T00:00:00Z,2502,J205,error,va4.6,784096,2339433,0.3351649737350888,b
2024-06-30T00:00:00Z,2503,J206,error,va4.6,2595787,1520628,1.7070493243580942,a
