Site,SampleID,CoreCode,nGrains
NA,J193,Cal50,50
NA,J194,Cal150,150
NA,J195,Cal300,300
NA,J196,Cal450,450
NA,J197,Cal50,50
NA,J198,Cal150,150
NA,J199,Cal300,300
NA,J200,Cal450,450
NA,J201,Cal50,50
NA,J202,Cal150,150
NA,J203,Cal300,300
NA,J204,Cal450,450
NA,J205,Cal50,50
NA,J206,Cal150,150
NA,J207,Cal300,300
NA,J208,Cal450,450
NA,J209,Cal50,50
NA,J210,Cal150,150
NA,J211,Cal300,300
NA,J212,Cal450,450
NA,J213,Cal50,50
NA,J214,Cal150,150
NA,J215,Cal300,300
NA,J216,Cal450,450
NA,J217,Cal50,50
NA,J218,Cal150,150
NA,J219,Cal300,300
NA,J220,Cal450,450
NA,J221,Cal50,50
NA,J222,Cal150,150
NA,J223,Cal300,300
NA,J224,Cal450,450
NA,J225,Cal50,50
NA,J226,Cal150,150
NA,J227,Cal300,300
NA,J228,Cal450,450
NA,J229,Cal50,50
NA,J230,Cal150,150
NA,J231,Cal300,300
NA,J232,Cal450,450
NA,J233,Cal50,50
NA,J234,Cal150,150
NA,J235,Cal300,300
NA,J236,Cal450,450
NA,J237,Cal50,50
NA,J238,Cal150,150
NA,J239,Cal300,300
NA,J240,Cal450,450
NA,J241,Cal50,50
NA,J242,Cal150,150
NA,J243,Cal300,300
NA,J244,Cal450,450
NA,J245,Cal50,50
NA,J246,Cal150,150
NA,J247,Cal300,300
NA,J248,Cal450,450
NA,J249,Cal50,50
NA,J250,Cal150,150
NA,J251,Cal300,300
NA,J252,Cal450,450
NA,J253,Cal50,50
NA,J254,Cal150,150
NA,J255,Cal300,300
NA,J256,Cal450,450
NA,J257,Cal50,50
NA,J258,Cal150,150
NA,J259,Cal300,300
NA,J260,Cal450,450
NA,J261,Cal50,NA
NA,J262,Cal150,NA
NA,J263,Cal300,NA
NA,J264,Cal450,NA
NA,J265,Cal50,NA
NA,J266,Cal150,NA
NA,J267,Cal300,NA
NA,J268,Cal450,NA
NA,J269,Cal50,NA
NA,J270,Cal150,NA
NA,J271,Cal300,NA
NA,J272,Cal450,NA
NA,J273,Cal50,NA
NA,J274,Cal150,NA
NA,J275,Cal300,NA
NA,J276,Cal450,NA
NA,J277,Cal50,NA
NA,J278,Cal150,NA
NA,J279,Cal300,NA
NA,J280,Cal450,NA
NA,J281,Cal50,NA
NA,J282,Cal150,NA
NA,J283,Cal300,NA
NA,J284,Cal450,NA
NA,J285,Cal50,NA
NA,J286,Cal150,NA
NA,J287,Cal300,NA
NA,J288,Cal450,NA
Suigetsu,M001,C-13 8.8-21.6,100
Suigetsu,M002,C-13 8.8-21.6,100
Suigetsu,M003,C-13 8.8-21.6,100
Suigetsu,M004,C-13 21.6-36,100
Suigetsu,M005,C-13 21.6-36,100
Suigetsu,M006,C-13 21.6-36,100
Suigetsu,M007,C-13 36-56.1,100
Suigetsu,M008,C-13 36-56.1,100
Suigetsu,M009,C-13 36-56.1,100
Suigetsu,M010,C-17 53.9-57.7,100
Suigetsu,M011,C-17 53.9-57.7,100
Suigetsu,M012,C-17 53.9-57.7,100
Suigetsu,M013,C-17 57.7-61.1,100
Suigetsu,M014,C-17 57.7-61.1,100
Suigetsu,M015,C-17 57.7-61.1,100
Suigetsu,M016,C-02 27.6-44.6,100
Suigetsu,M017,C-02 27.6-44.6,100
Suigetsu,M018,C-02 27.6-44.6,100
Suigetsu,M019,C-13 56.1-75.5,100
Suigetsu,M020,C-13 56.1-75.5,100
Suigetsu,M021,C-13 56.1-75.5,100
Suigetsu,M022,C-17 61.1-65.5,100
Suigetsu,M023,C-17 61.1-65.5,100
Suigetsu,M024,C-17 61.1-65.5,39
Suigetsu,M025,C-17 65.5-69.4,100
Suigetsu,M026,C-17 65.5-69.4,100
Suigetsu,M027,C-17 65.5-69.4,100
Suigetsu,M028,C-08 22.8-31,100
Suigetsu,M029,C-08 22.8-31,100
Suigetsu,M030,C-08 22.8-31,100
Suigetsu,M031,C-08 31-50.9,100
Suigetsu,M032,C-08 31-50.9,100
Suigetsu,M033,C-08 31-50.9,100
Suigetsu,M034,B-22 66.2-69.1,100
Suigetsu,M035,B-22 66.2-69.1,100
Suigetsu,M036,B-22 66.2-69.1,100
Suigetsu,M037,B-22 69.1-72.1,100
Suigetsu,M038,B-22 69.1-72.1,100
Suigetsu,M039,B-22 69.1-72.1,100
Suigetsu,M040,B-22 72.1-75.2,100
Suigetsu,M041,B-22 72.1-75.2,100
Suigetsu,M042,B-22 72.1-75.2,100
Suigetsu,M043,B-22 75.2-78.4,100
Suigetsu,M044,B-22 75.2-78.4,100
Suigetsu,M045,B-22 75.2-78.4,100
Suigetsu,M046,C-02 63.1-78.8,100
Suigetsu,M047,C-02 63.1-78.8,100
Suigetsu,M048,C-02 63.1-78.8,100
Suigetsu,M049,C-02 78.8-92.6,100
Suigetsu,M050,C-02 78.8-92.6,100
Suigetsu,M051,C-02 78.8-92.6,100
Suigetsu,M052,C-02 44.6-63.1,100
Suigetsu,M053,C-02 44.6-63.1,100
Suigetsu,M054,C-02 44.6-63.1,100
Suigetsu,M055,C-13 8.8-21.6,100
Suigetsu,M056,C-13 8.8-21.6,100
Suigetsu,M057,C-13 8.8-21.6,100
Suigetsu,M058,C-13 21.6-36,100
Suigetsu,M059,C-13 21.6-36,100
Suigetsu,M060,C-13 21.6-36,100
Suigetsu,M061,C-08 50.9-71.4,100
Suigetsu,M062,C-08 50.9-71.4,100
Suigetsu,M063,C-08 50.9-71.4,59
Suigetsu,M064,C-08 71.4-92.6,100
Suigetsu,M065,C-08 71.4-92.6,100
Suigetsu,M066,C-08 71.4-92.6,100
Suigetsu,M067,C-17 53.9-57.7,100
Suigetsu,M068,C-17 53.9-57.7,100
Suigetsu,M069,C-17 57.7-61.1,100
Suigetsu,M070,C-17 57.7-61.1,95
Suigetsu,M071,C-02 27.6-44.6,100
Suigetsu,M072,C-02 27.6-44.6,100
