SampleID,CoreCode,Section,Depth
E009,C-13 8.8-21.6,C-13,8.8-21.6
E010,C-13 21.6-36,C-13,21.6-36
E011,C-13 36-56.1,C-13,36-56.1
E012,C-17 53.9-57.7,C-17,53.9-57.7
E013,C-17 57.7-61.1,C-17,57.7-61.1
E014,C-02 27.6-44.6,C-02,27.6-44.6
E015,C-02 44.6-63.1,C-02,44.6-63.1
E016a,C-02 44.6-63.1,C-02,44.6-63.1
E016b,C-02 44.6-63.1,C-02,44.6-63.1
E017,C-13 56.1-75.5,C-13,56.1-75.5
E018,C-17 61.1-65.5,C-17,61.1-65.5
E019,C-17 65.5-69.4,C-17,65.5-69.4
E020,C-08 22.8-31,C-08,22.8-31
E021,C-08 31-50.9,C-08,31-50.9
E022,C-08 50.9-71.4,C-08,50.9-71.4
E023,C-08 71.4-92.6,C-08,71.4-92.6
E024,B-22 66.2-69.1,B-22,66.2-69.1
E025,B-22 69.1-72.1,B-22,69.1-72.1
E026,B-22 72.1-75.2,B-22,72.1-75.2
E027,B-22 75.2-78.4,B-22,75.2-78.4
E028,C-02 63.1-78.8,C-02,63.1-78.8
E029,C-02 78.8-92.6,C-02,78.8-92.6
M001,C-13 8.8-21.6,C-13,8.8-21.6
M002,C-13 8.8-21.6,C-13,8.8-21.6
M003,C-13 8.8-21.6,C-13,8.8-21.6
M004,C-13 21.6-36,C-13,21.6-36
M005,C-13 21.6-36,C-13,21.6-36
M006,C-13 21.6-36,C-13,21.6-36
M007,C-13 36-56.1,C-13,36-56.1
M008,C-13 36-56.1,C-13,36-56.1
M009,C-13 36-56.1,C-13,36-56.1
M010,C-17 53.9-57.7,C-17,53.9-57.7
M011,C-17 53.9-57.7,C-17,53.9-57.7
M012,C-17 53.9-57.7,C-17,53.9-57.7
M013,C-17 57.7-61.1,C-17,57.7-61.1
M014,C-17 57.7-61.1,C-17,57.7-61.1
M015,C-17 57.7-61.1,C-17,57.7-61.1
M016,C-02 27.6-44.6,C-02,27.6-44.6
M017,C-02 27.6-44.6,C-02,27.6-44.6
M018,C-02 27.6-44.6,C-02,27.6-44.6
M019,C-13 56.1-75.5,C-13,56.1-75.5
M020,C-13 56.1-75.5,C-13,56.1-75.5
M021,C-13 56.1-75.5,C-13,56.1-75.5
M022,C-17 61.1-65.5,C-17,61.1-65.5
M023,C-17 61.1-65.5,C-17,61.1-65.5
M024,C-17 61.1-65.5,C-17,61.1-65.5
M025,C-17 65.5-69.4,C-17,65.5-69.4
M026,C-17 65.5-69.4,C-17,65.5-69.4
M027,C-17 65.5-69.4,C-17,65.5-69.4
M028,C-08 22.8-31,C-08,22.8-31
M029,C-08 22.8-31,C-08,22.8-31
M030,C-08 22.8-31,C-08,22.8-31
M031,C-08 31-50.9,C-08,31-50.9
M032,C-08 31-50.9,C-08,31-50.9
M033,C-08 31-50.9,C-08,31-50.9
M034,B-22 66.2-69.1,B-22,66.2-69.1
M035,B-22 66.2-69.1,B-22,66.2-69.1
M036,B-22 66.2-69.1,B-22,66.2-69.1
M037,B-22 69.1-72.1,B-22,69.1-72.1
M038,B-22 69.1-72.1,B-22,69.1-72.1
M039,B-22 69.1-72.1,B-22,69.1-72.1
M040,B-22 72.1-75.2,B-22,72.1-75.2
M041,B-22 72.1-75.2,B-22,72.1-75.2
M042,B-22 72.1-75.2,B-22,72.1-75.2
M043,B-22 75.2-78.4,B-22,75.2-78.4
M044,B-22 75.2-78.4,B-22,75.2-78.4
M045,B-22 75.2-78.4,B-22,75.2-78.4
M046,C-02 63.1-78.8,C-02,63.1-78.8
M047,C-02 63.1-78.8,C-02,63.1-78.8
M048,C-02 63.1-78.8,C-02,63.1-78.8
M049,C-02 78.8-92.6,C-02,78.8-92.6
M050,C-02 78.8-92.6,C-02,78.8-92.6
M051,C-02 78.8-92.6,C-02,78.8-92.6
M052,C-02 44.6-63.1,C-02,44.6-63.1
M053,C-02 44.6-63.1,C-02,44.6-63.1
M054,C-02 44.6-63.1,C-02,44.6-63.1
M055,C-13 8.8-21.6,C-13,8.8-21.6
M056,C-13 8.8-21.6,C-13,8.8-21.6
M057,C-13 8.8-21.6,C-13,8.8-21.6
M058,C-13 21.6-36,C-13,21.6-36
M059,C-13 21.6-36,C-13,21.6-36
M060,C-13 21.6-36,C-13,21.6-36
M061,C-08 50.9-71.4,C-08,50.9-71.4
M062,C-08 50.9-71.4,C-08,50.9-71.4
M063,C-08 50.9-71.4,C-08,50.9-71.4
M064,C-08 71.4-92.6,C-08,71.4-92.6
M065,C-08 71.4-92.6,C-08,71.4-92.6
M066,C-08 71.4-92.6,C-08,71.4-92.6
M067,C-17 53.9-57.7,C-17,53.9-57.7
M068,C-17 53.9-57.7,C-17,53.9-57.7
M069,C-17 57.7-61.1,C-17,57.7-61.1
M070,C-17 57.7-61.1,C-17,57.7-61.1
M071,C-02 27.6-44.6,C-02,27.6-44.6
M072,C-02 27.6-44.6,C-02,27.6-44.6
