Date,Code,SampleID,type,std,i161,i196,Ratio,calBatch
2025-02-17T00:00:00Z,2984,blk,blk,va4.7,NA,NA,NA,a
2025-02-17T00:00:00Z,2985,cal4.1,cal,va4.7,1373268,4358862,NA,a
2025-02-17T00:00:00Z,2986,cal4.2,cal,va4.7,3526733,4721260,NA,a
2025-02-17T00:00:00Z,2987,cal4.3,cal,va4.7,9502274,4899001,NA,a
2025-02-17T00:00:00Z,2988,cal4.4,cal,va4.7,11885432,4670968,NA,a
2025-02-17T00:00:00Z,2989,J709,polcal,va4.7,1168853,4461754,NA,a
2025-02-17T00:00:00Z,2990,J710,polcal,va4.7,5177701,5260651,NA,a
2025-02-17T00:00:00Z,2991,J711,polcal,va4.7,9983488,5501144,NA,a
2025-02-17T00:00:00Z,2992,J712,polcal,va4.7,13519585,5489971,NA,a
2025-02-17T00:00:00Z,2997,J285,polcal,va4.7,1353858,5126323,NA,a
2025-02-17T00:00:00Z,2998,J286,polcal,va4.7,4713207,5042129,NA,a
2025-02-17T00:00:00Z,2999,J287,polcal,va4.7,8913184,5145377,NA,a
2025-02-17T00:00:00Z,3000,J288,polcal,va4.7,14812981,5260251,NA,a
2025-02-17T00:00:00Z,3001,J334,sample,va4.7,3969281,5695720,NA,a
2025-02-17T00:00:00Z,3002,J337,sample,va4.7,3952447,5448483,NA,a
2025-02-17T00:00:00Z,3003,J340,sample,va4.7,3353887,5683283,NA,a
2025-02-17T00:00:00Z,3004,J343,sample,va4.7,2507238,5462290,NA,a
2025-02-17T00:00:00Z,3005,J346,sample,va4.7,3661950,5455787,NA,a
2025-02-17T00:00:00Z,3006,J349,sample,va4.7,4045112,5638569,NA,a
2025-02-17T00:00:00Z,3007,J352,sample,va4.7,4201649,6033317,NA,a
2025-02-17T00:00:00Z,3008,J355,sample,va4.7,3626775,5577428,NA,a
2025-02-17T00:00:00Z,3009,blk,blk,va4.7,NA,NA,NA,a
2025-02-18T00:00:00Z,3010,blk,blk,va4.7,NA,NA,NA,a
2025-02-18T00:00:00Z,3011,cal4.1,cal,va4.7,1149529,4300681,NA,a
2025-02-18T00:00:00Z,3012,cal4.2,cal,va4.7,4037166,4582046,NA,a
2025-02-18T00:00:00Z,3013,cal4.3,cal,va4.7,10221336,4715586,NA,a
2025-02-18T00:00:00Z,3014,cal4.4,cal,va4.7,14095149,4769272,NA,a
2025-02-18T00:00:00Z,3015,J463,polcal,va4.7,3425476,4738196,NA,a
2025-02-18T00:00:00Z,3016,J464,polcal,va4.7,4231160,5172595,NA,a
2025-02-18T00:00:00Z,3017,J465,polcal,va4.7,6157386,5461643,NA,a
2025-02-18T00:00:00Z,3018,J466,polcal,va4.7,10515241,5263111,NA,a
2025-02-18T00:00:00Z,3019,J358,sample,va4.7,3554906,5361040,NA,a
2025-02-18T00:00:00Z,3020,J361,sample,va4.7,4379614,5299534,NA,a
2025-02-18T00:00:00Z,3021,J364,sample,va4.7,1717622,5215219,NA,a
2025-02-18T00:00:00Z,3022,J367,sample,va4.7,3327451,5376819,NA,a
2025-02-18T00:00:00Z,3023,J370,sample,va4.7,3515651,5107617,NA,a
2025-02-18T00:00:00Z,3024,J373,sample,va4.7,3427066,5163311,NA,a
2025-02-18T00:00:00Z,3025,J376,sample,va4.7,3580796,5085510,NA,a
2025-02-18T00:00:00Z,3026,J379,sample,va4.7,3253310,4884364,NA,a
2025-02-18T00:00:00Z,3027,J382,sample,va4.7,3388242,5359140,NA,a
2025-02-18T00:00:00Z,3028,J385,sample,va4.7,3234628,5159544,NA,a
2025-02-18T00:00:00Z,3029,J388,sample,va4.7,2909472,4762137,NA,a
2025-02-18T00:00:00Z,3030,J391,sample,va4.7,3170344,5389047,NA,a
2025-02-18T00:00:00Z,3031,J394,sample,va4.7,3583095,5531485,NA,a
2025-02-18T00:00:00Z,3032,J397,sample,va4.7,3270933,5412415,NA,a
2025-02-18T00:00:00Z,3033,J400,sample,va4.7,2309298,4804841,NA,a
2025-02-18T00:00:00Z,3034,J403,sample,va4.7,3275628,4942974,NA,a
2025-02-18T00:00:00Z,3035,blk,blk,va4.7,NA,NA,NA,a
2025-02-19T00:00:00Z,3036,blk,blk,NA,NA,NA,NA,a
2025-02-19T00:00:00Z,3037,cal4.1,cal,va4.7,796747,4388048,NA,a
2025-02-19T00:00:00Z,3038,cal4.2,cal,va4.7,3492851,4403795,NA,a
2025-02-19T00:00:00Z,3039,cal4.3,cal,va4.7,9715807,4632667,NA,a
2025-02-19T00:00:00Z,3040,cal4.4,cal,va4.7,12768512,4820863,NA,a
2025-02-19T00:00:00Z,3041,J467,polcal,va4.7,1425895,4919352,NA,a
2025-02-19T00:00:00Z,3042,J468,polcal,va4.7,4720020,5115931,NA,a
2025-02-19T00:00:00Z,3043,J469,polcal,va4.7,9668268,5410642,NA,a
2025-02-19T00:00:00Z,3044,J470,polcal,va4.7,12240312,5372307,NA,a
2025-02-19T00:00:00Z,3045,J406,sample,va4.7,3095200,5291844,NA,a
2025-02-19T00:00:00Z,3046,J409,sample,va4.7,2887583,5261190,NA,a
2025-02-19T00:00:00Z,3047,J412,sample,va4.7,3327453,5195685,NA,a
2025-02-19T00:00:00Z,3048,J415,sample,va4.7,3207688,5281515,NA,a
2025-02-19T00:00:00Z,3049,J418,sample,va4.7,3426781,5087710,NA,a
2025-02-19T00:00:00Z,3050,J421,sample,va4.7,3791238,5280289,NA,a
2025-02-19T00:00:00Z,3051,J424,sample,va4.7,3315701,4959986,NA,a
2025-02-19T00:00:00Z,3052,J427,sample,va4.7,3539579,5262996,NA,a
2025-02-19T00:00:00Z,3053,J430,sample,va4.7,3223128,5073632,NA,a
2025-02-19T00:00:00Z,3054,J433,sample,va4.7,3338275,4841780,NA,a
2025-02-19T00:00:00Z,3055,J436,sample,va4.7,3421922,5045692,NA,a
2025-02-19T00:00:00Z,3056,J439,sample,va4.7,3649501,4866291,NA,a
