Site,SampleID,CoreCode,nGrains
NA,J285,Cal50,50
NA,J286,Cal150,150
NA,J287,Cal300,300
NA,J288,Cal450,450
2024_Greenhouse,J334,A_UV_002_(1st sampling),150
2024_Greenhouse,J335,A_UV_002_(1st sampling),150
2024_Greenhouse,J336,A_UV_002_(1st sampling),150
2024_Greenhouse,J337,B_UV_012_(1st sampling),150
2024_Greenhouse,J338,B_UV_012_(1st sampling),150
2024_Greenhouse,J339,B_UV_012_(1st sampling),150
2024_Greenhouse,J340,B_CON_017_(1st sampling),150
2024_Greenhouse,J341,B_CON_017_(1st sampling),150
2024_Greenhouse,J342,B_CON_017_(1st sampling),150
2024_Greenhouse,J343,B_CON_020_(1st sampling),150
2024_Greenhouse,J344,B_CON_020_(1st sampling),150
2024_Greenhouse,J345,B_CON_020_(1st sampling),150
2024_Greenhouse,J346,C_UV_023_(1st sampling),150
2024_Greenhouse,J347,C_UV_023_(1st sampling),150
2024_Greenhouse,J348,C_UV_023_(1st sampling),150
2024_Greenhouse,J349,C_UV_025_(1st sampling),150
2024_Greenhouse,J350,C_UV_025_(1st sampling),150
2024_Greenhouse,J351,C_UV_025_(1st sampling),150
2024_Greenhouse,J352,C_CON_027_(1st sampling),150
2024_Greenhouse,J353,C_CON_027_(1st sampling),150
2024_Greenhouse,J354,C_CON_027_(1st sampling),150
2024_Greenhouse,J355,D_CON_039_(1st sampling),150
2024_Greenhouse,J356,D_CON_039_(1st sampling),150
2024_Greenhouse,J357,D_CON_039_(1st sampling),150
2024_Greenhouse,J358,E_UV_043_(1st sampling),150
2024_Greenhouse,J359,E_UV_043_(1st sampling),150
2024_Greenhouse,J360,E_UV_043_(1st sampling),150
2024_Greenhouse,J361,E_CON_049_(1st sampling),150
2024_Greenhouse,J362,E_CON_049_(1st sampling),150
2024_Greenhouse,J363,E_CON_049_(1st sampling),150
2024_Greenhouse,J364,F_UV_052_(1st sampling),150
2024_Greenhouse,J365,F_UV_052_(1st sampling),150
2024_Greenhouse,J366,F_UV_052_(1st sampling),150
2024_Greenhouse,J367,F_CON_060_(1st sampling),150
2024_Greenhouse,J368,F_CON_060_(1st sampling),150
2024_Greenhouse,J369,F_CON_060_(1st sampling),150
2024_Greenhouse,J370,A_UV_001_(1st sampling),150
2024_Greenhouse,J371,A_UV_001_(1st sampling),150
2024_Greenhouse,J372,A_UV_001_(1st sampling),150
2024_Greenhouse,J373,A_UV_001_(2nd sampling),150
2024_Greenhouse,J374,A_UV_001_(2nd sampling),150
2024_Greenhouse,J375,A_UV_001_(2nd sampling),150
2024_Greenhouse,J376,A_UV_004_(1st sampling),150
2024_Greenhouse,J377,A_UV_004_(1st sampling),150
2024_Greenhouse,J378,A_UV_004_(1st sampling),150
2024_Greenhouse,J379,A_UV_004_(2nd sampling),150
2024_Greenhouse,J380,A_UV_004_(2nd sampling),150
2024_Greenhouse,J381,A_UV_004_(2nd sampling),150
2024_Greenhouse,J382,A_CON_006_(1st sampling),150
2024_Greenhouse,J383,A_CON_006_(1st sampling),150
2024_Greenhouse,J384,A_CON_006_(1st sampling),150
2024_Greenhouse,J385,A_CON_006_(2nd sampling),150
2024_Greenhouse,J386,A_CON_006_(2nd sampling),150
2024_Greenhouse,J387,A_CON_006_(2nd sampling),150
2024_Greenhouse,J388,B_UV_014_(1st sampling),150
2024_Greenhouse,J389,B_UV_014_(1st sampling),150
2024_Greenhouse,J390,B_UV_014_(1st sampling),150
2024_Greenhouse,J391,B_CON_016_(1st sampling),150
2024_Greenhouse,J392,B_CON_016_(1st sampling),150
2024_Greenhouse,J393,B_CON_016_(1st sampling),150
2024_Greenhouse,J394,B_CON_016_(2nd sampling),150
2024_Greenhouse,J395,B_CON_016_(2nd sampling),150
2024_Greenhouse,J396,B_CON_016_(2nd sampling),150
2024_Greenhouse,J397,C_CON_028_(1st sampling),150
2024_Greenhouse,J398,C_CON_028_(1st sampling),150
2024_Greenhouse,J399,C_CON_028_(1st sampling),150
2024_Greenhouse,J400,C_CON_028_(2nd sampling),150
2024_Greenhouse,J401,C_CON_028_(2nd sampling),150
2024_Greenhouse,J402,C_CON_028_(2nd sampling),150
2024_Greenhouse,J403,C_CON_029_(1st sampling),150
2024_Greenhouse,J404,C_CON_029_(1st sampling),150
2024_Greenhouse,J405,C_CON_029_(1st sampling),150
2024_Greenhouse,J406,C_CON_029_(2nd sampling),150
2024_Greenhouse,J407,C_CON_029_(2nd sampling),150
2024_Greenhouse,J408,C_CON_029_(2nd sampling),150
2024_Greenhouse,J409,C_CON_029_(3rd sampling),150
2024_Greenhouse,J410,C_CON_029_(3rd sampling),150
2024_Greenhouse,J411,C_CON_029_(3rd sampling),150
2024_Greenhouse,J412,C_CON_030_(1st sampling),150
2024_Greenhouse,J413,C_CON_030_(1st sampling),150
2024_Greenhouse,J414,C_CON_030_(1st sampling),150
2024_Greenhouse,J415,C_CON_030_(2nd sampling),150
2024_Greenhouse,J416,C_CON_030_(2nd sampling),150
2024_Greenhouse,J417,C_CON_030_(2nd sampling),150
2024_Greenhouse,J418,D_UV_031_(1st sampling),150
2024_Greenhouse,J419,D_UV_031_(1st sampling),150
2024_Greenhouse,J420,D_UV_031_(1st sampling),150
2024_Greenhouse,J421,D_UV_031_(2nd sampling),150
2024_Greenhouse,J422,D_UV_031_(2nd sampling),150
2024_Greenhouse,J423,D_UV_031_(2nd sampling),150
2024_Greenhouse,J424,D_UV_031_(3rd sampling),150
2024_Greenhouse,J425,D_UV_031_(3rd sampling),150
2024_Greenhouse,J426,D_UV_031_(3rd sampling),150
2024_Greenhouse,J427,D_UV_032_(1st sampling),150
2024_Greenhouse,J428,D_UV_032_(1st sampling),150
2024_Greenhouse,J429,D_UV_032_(1st sampling),150
2024_Greenhouse,J430,D_UV_032_(2nd sampling),150
2024_Greenhouse,J431,D_UV_032_(2nd sampling),150
2024_Greenhouse,J432,D_UV_032_(2nd sampling),150
2024_Greenhouse,J433,D_UV_033_(1st sampling),150
2024_Greenhouse,J434,D_UV_033_(1st sampling),150
2024_Greenhouse,J435,D_UV_033_(1st sampling),150
2024_Greenhouse,J436,D_UV_033_(2nd sampling),150
2024_Greenhouse,J437,D_UV_033_(2nd sampling),150
2024_Greenhouse,J438,D_UV_033_(2nd sampling),150
2024_Greenhouse,J439,D_UV_034_(1st sampling),150
2024_Greenhouse,J440,D_UV_034_(1st sampling),150
2024_Greenhouse,J441,D_UV_034_(1st sampling),150
2024_Greenhouse,J442,D_UV_034_(2nd sampling),150
2024_Greenhouse,J443,D_UV_034_(2nd sampling),150
2024_Greenhouse,J444,D_UV_034_(2nd sampling),150
2024_Greenhouse,J445,D_UV_035_(1st sampling),150
2024_Greenhouse,J446,D_UV_035_(1st sampling),150
2024_Greenhouse,J447,D_UV_035_(1st sampling),150
