SampleID,SampleCode,Frame,Treatment,TreeNumber,Sampling_Number
J334,A_UV_002_(1st sampling),A,UV,002,01
J335,A_UV_002_(1st sampling),A,UV,002,01
J336,A_UV_002_(1st sampling),A,UV,002,01
J337,B_UV_012_(1st sampling),B,UV,012,01
J338,B_UV_012_(1st sampling),B,UV,012,01
J339,B_UV_012_(1st sampling),B,UV,012,01
J340,B_CON_017_(1st sampling),B,CON,017,01
J341,B_CON_017_(1st sampling),B,CON,017,01
J342,B_CON_017_(1st sampling),B,CON,017,01
J343,B_CON_020_(1st sampling),B,CON,020,01
J344,B_CON_020_(1st sampling),B,CON,020,01
J345,B_CON_020_(1st sampling),B,CON,020,01
J346,C_UV_023_(1st sampling),C,UV,023,01
J347,C_UV_023_(1st sampling),C,UV,023,01
J348,C_UV_023_(1st sampling),C,UV,023,01
J349,C_UV_025_(1st sampling),C,UV,025,01
J350,C_UV_025_(1st sampling),C,UV,025,01
J351,C_UV_025_(1st sampling),C,UV,025,01
J352,C_CON_027_(1st sampling),C,CON,027,01
J353,C_CON_027_(1st sampling),C,CON,027,01
J354,C_CON_027_(1st sampling),C,CON,027,01
J355,D_CON_039_(1st sampling),D,CON,039,01
J356,D_CON_039_(1st sampling),D,CON,039,01
J357,D_CON_039_(1st sampling),D,CON,039,01
J358,E_UV_043_(1st sampling),E,UV,043,01
J359,E_UV_043_(1st sampling),E,UV,043,01
J360,E_UV_043_(1st sampling),E,UV,043,01
J361,E_CON_049_(1st sampling),E,CON,049,01
J362,E_CON_049_(1st sampling),E,CON,049,01
J363,E_CON_049_(1st sampling),E,CON,049,01
J364,F_UV_052_(1st sampling),F,UV,052,01
J365,F_UV_052_(1st sampling),F,UV,052,01
J366,F_UV_052_(1st sampling),F,UV,052,01
J367,F_CON_060_(1st sampling),F,CON,060,01
J368,F_CON_060_(1st sampling),F,CON,060,01
J369,F_CON_060_(1st sampling),F,CON,060,01
J370,A_UV_001_(1st sampling),A,UV,001,01
J371,A_UV_001_(1st sampling),A,UV,001,01
J372,A_UV_001_(1st sampling),A,UV,001,01
J373,A_UV_001_(2nd sampling),A,UV,001,02
J374,A_UV_001_(2nd sampling),A,UV,001,02
J375,A_UV_001_(2nd sampling),A,UV,001,02
J376,A_UV_004_(1st sampling),A,UV,004,01
J377,A_UV_004_(1st sampling),A,UV,004,01
J378,A_UV_004_(1st sampling),A,UV,004,01
J379,A_UV_004_(2nd sampling),A,UV,004,02
J380,A_UV_004_(2nd sampling),A,UV,004,02
J381,A_UV_004_(2nd sampling),A,UV,004,02
J382,A_CON_006_(1st sampling),A,CON,006,01
J383,A_CON_006_(1st sampling),A,CON,006,01
J384,A_CON_006_(1st sampling),A,CON,006,01
J385,A_CON_006_(2nd sampling),A,CON,006,02
J386,A_CON_006_(2nd sampling),A,CON,006,02
J387,A_CON_006_(2nd sampling),A,CON,006,02
J388,B_UV_014_(1st sampling),B,UV,014,01
J389,B_UV_014_(1st sampling),B,UV,014,01
J390,B_UV_014_(1st sampling),B,UV,014,01
J391,B_CON_016_(1st sampling),B,CON,016,01
J392,B_CON_016_(1st sampling),B,CON,016,01
J393,B_CON_016_(1st sampling),B,CON,016,01
J394,B_CON_016_(2nd sampling),B,CON,016,02
J395,B_CON_016_(2nd sampling),B,CON,016,02
J396,B_CON_016_(2nd sampling),B,CON,016,02
J397,C_CON_028_(1st sampling),C,CON,028,01
