Code,SampleID,calibrated,CoreCode,Section,Depth,Time
2435,M001,0.5685769410793298,C-13 8.8-21.6,C-13,8.8-21.6,41 ka BP
2436,M004,0.5575044459187224,C-13 21.6-36,C-13,21.6-36,41 ka BP
2437,M007,0.5597204725535667,C-13 36-56.1,C-13,36-56.1,41 ka BP
2438,M010,0.526819908668229,C-17 53.9-57.7,C-17,53.9-57.7,53 ka BP
2439,M013,0.3806062585586881,C-17 57.7-61.1,C-17,57.7-61.1,53 ka BP
2440,M016,0.37383117998984355,C-02 27.6-44.6,C-02,27.6-44.6,01 ka BP
2441,M019,0.400097628079093,C-13 56.1-75.5,C-13,56.1-75.5,41 ka BP
2442,M022,0.5297608404116998,C-17 61.1-65.5,C-17,61.1-65.5,53 ka BP
2443,M025,0.40614135888962816,C-17 65.5-69.4,C-17,65.5-69.4,53 ka BP
2444,M028,0.3861982131754673,C-08 22.8-31,C-08,22.8-31,08 ka BP
2445,M031,0.42750035684815946,C-08 31-50.9,C-08,31-50.9,08 ka BP
2446,M034,0.3558838178554942,B-22 66.2-69.1,B-22,66.2-69.1,65 ka BP
2447,M037,0.40799843035043387,B-22 69.1-72.1,B-22,69.1-72.1,65 ka BP
2448,M040,0.4222819603478177,B-22 72.1-75.2,B-22,72.1-75.2,65 ka BP
2449,M043,0.4634057630251667,B-22 75.2-78.4,B-22,75.2-78.4,65 ka BP
2450,M046,0.4251851252871054,C-02 63.1-78.8,C-02,63.1-78.8,01 ka BP
2460,M049,0.5081612105785249,C-02 78.8-92.6,C-02,78.8-92.6,01 ka BP
2461,M052,0.41767052473642435,C-02 44.6-63.1,C-02,44.6-63.1,01 ka BP
2462,M055,0.5434207588708803,C-13 8.8-21.6,C-13,8.8-21.6,41 ka BP
2463,M058,0.4790655092471191,C-13 21.6-36,C-13,21.6-36,41 ka BP
2464,M061,0.3962695913414605,C-08 50.9-71.4,C-08,50.9-71.4,08 ka BP
