Age,ADM[x10^22 Am^2]
100,4.16819
99.95,4.1625
99.9,4.16819
99.85,4.18656
99.8,4.21759
99.75,4.26156
99.7,4.31819
99.65,4.38699
99.6,4.46613
99.55,4.55276
99.5,4.64432
99.45,4.73871
99.4,4.83285
99.35,4.92414
99.3,5.00975
99.25,5.08707
99.2,5.15354
99.15,5.20682
99.1,5.24406
99.05,5.26345
99,5.26682
98.95,5.25595
98.9,5.23345
98.85,5.20113
98.8,5.16233
98.75,5.1194
98.7,5.07544
98.65,5.03225
98.6,4.99061
98.55,4.94975
98.5,4.91018
98.45,4.87113
98.4,4.83388
98.35,4.79923
98.3,4.76794
98.25,4.74078
98.2,4.71854
98.15,4.70095
98.1,4.6888
98.05,4.68182
98,4.67923
97.95,4.67975
97.9,4.68233
97.85,4.68518
97.8,4.68699
97.75,4.68569
97.7,4.67949
97.65,4.66682
97.6,4.64897
97.55,4.6275
97.5,4.60371
97.45,4.57966
97.4,4.55638
97.35,4.53621
97.3,4.51992
97.25,4.50983
97.2,4.50673
97.15,4.5119
97.1,4.52664
97.05,4.55173
97,4.5869
96.95,4.6319
96.9,4.68647
96.85,4.74932
96.8,4.8194
96.75,4.89466
96.7,4.97328
96.65,5.05345
96.6,5.13363
96.55,5.21225
96.5,5.28802
96.45,5.35888
96.4,5.42173
96.35,5.47242
96.3,5.50759
96.25,5.52414
96.2,5.52311
96.15,5.50552
96.1,5.4732
96.05,5.42794
96,5.37414
95.95,5.31544
95.9,5.25699
95.85,5.20216
95.8,5.15406
95.75,5.11449
95.7,5.08552
95.65,5.06923
95.6,5.06432
95.55,5.06923
95.5,5.08242
95.45,5.10259
95.4,5.12845
95.35,5.15897
95.3,5.19311
95.25,5.23009
95.2,5.26837
95.15,5.30716
95.1,5.34492
95.05,5.38035
95,5.41216
94.95,5.4388
94.9,5.4582
94.85,5.46932
94.8,5.47035
94.75,5.46026
94.7,5.43751
94.65,5.40156
94.6,5.35423
94.55,5.29682
94.5,5.23216
94.45,5.16259
94.4,5.09095
94.35,5.02138
94.3,4.95776
94.25,4.90319
94.2,4.8613
94.15,4.83518
94.1,4.82794
94.05,4.84216
94,4.87682
93.95,4.93035
93.9,5.00069
93.85,5.08552
93.8,5.17914
93.75,5.27561
93.7,5.36845
93.65,5.45251
93.6,5.52492
93.55,5.58363
93.5,5.62707
93.45,5.65423
93.4,5.66742
93.35,5.67026
93.3,5.66639
93.25,5.65889
93.2,5.65035
93.15,5.64363
93.1,5.6413
93.05,5.64544
93,5.6563
92.95,5.6744
92.9,5.69975
92.85,5.73207
92.8,5.77035
92.75,5.81406
92.7,5.86164
92.65,5.91208
92.6,5.96328
92.55,6.01268
92.5,6.05794
92.45,6.09751
92.4,6.1319
92.35,6.16294
92.3,6.19216
92.25,6.22113
92.2,6.25164
92.15,6.28475
92.1,6.32277
92.05,6.36673
92,6.41483
91.95,6.46552
91.9,6.51725
91.85,6.56794
91.8,6.61759
91.75,6.66621
91.7,6.71354
91.65,6.75958
91.6,6.80483
91.55,6.84932
91.5,6.89354
91.45,6.93777
91.4,6.98147
91.35,7.02466
91.3,7.0663
91.25,7.1069
91.2,7.14647
91.15,7.18527
91.1,7.22458
91.05,7.26389
91,7.3019
90.95,7.33656
90.9,7.36552
90.85,7.38725
90.8,7.40044
90.75,7.4038
90.7,7.39708
90.65,7.37897
90.6,7.35104
90.55,7.31458
90.5,7.27139
90.45,7.22277
90.4,7.16923
90.35,7.11104
90.3,7.04871
90.25,6.98277
90.2,6.91423
90.15,6.84415
90.1,6.7738
90.05,6.70423
90,6.63802
89.95,6.57699
89.9,6.52397
89.85,6.48104
89.8,6.44897
89.75,6.42906
89.7,6.42233
89.65,6.42906
89.6,6.44716
89.55,6.47458
89.5,6.50871
89.45,6.54699
89.4,6.58811
89.35,6.63027
89.3,6.6719
89.25,6.71199
89.2,6.75233
89.15,6.79578
89.1,6.84492
89.05,6.90182
89,6.96725
88.95,7.04173
88.9,7.12552
88.85,7.21785
88.8,7.31639
88.75,7.41725
88.7,7.51682
88.65,7.61147
88.6,7.69863
88.55,7.77544
88.5,7.83932
88.45,7.8882
88.4,7.9213
88.35,7.93915
88.3,7.94173
88.25,7.92958
88.2,7.90578
88.15,7.87397
88.1,7.83751
88.05,7.79975
88,7.76251
87.95,7.7263
87.9,7.69268
87.85,7.66294
87.8,7.63759
87.75,7.61742
87.7,7.60371
87.65,7.59621
87.6,7.59466
87.55,7.59777
87.5,7.60397
87.45,7.61277
87.4,7.62466
87.35,7.64044
87.3,7.66113
87.25,7.68673
87.2,7.71466
87.15,7.74182
87.1,7.76432
87.05,7.77984
87,7.78682
86.95,7.78449
86.9,7.77156
86.85,7.74828
86.8,7.71621
86.75,7.67742
86.7,7.63423
86.65,7.58846
86.6,7.53984
86.55,7.48785
86.5,7.43147
86.45,7.37044
86.4,7.30552
86.35,7.23777
86.3,7.1682
86.25,7.09759
86.2,7.02647
86.15,6.95509
86.1,6.88397
86.05,6.81337
86,6.74406
85.95,6.6763
85.9,6.61113
85.85,6.54906
85.8,6.49164
85.75,6.4394
85.7,6.3944
85.65,6.35768
85.6,6.3313
85.55,6.31733
85.5,6.31837
85.45,6.3357
85.4,6.36699
85.35,6.40966
85.3,6.46087
85.25,6.51751
85.2,6.57699
85.15,6.63596
85.1,6.69156
85.05,6.74121
85,6.7857
84.95,6.8263
84.9,6.86406
84.85,6.90052
84.8,6.93802
84.75,6.97837
84.7,7.0244
84.65,7.07742
84.6,7.13587
84.55,7.19742
84.5,7.26001
84.45,7.32078
84.4,7.37768
84.35,7.42734
84.3,7.4669
84.25,7.49432
84.2,7.50932
84.15,7.5119
84.1,7.50259
84.05,7.48165
84,7.45113
83.95,7.41363
83.9,7.37121
83.85,7.32596
83.8,7.27759
83.75,7.22561
83.7,7.16949
83.65,7.10897
83.6,7.04432
83.55,6.97604
83.5,6.9044
83.45,6.83018
83.4,6.75647
83.35,6.68535
83.3,6.62018
83.25,6.5638
83.2,6.51906
83.15,6.48958
83.1,6.4782
83.05,6.48751
83,6.51673
82.95,6.56406
82.9,6.6282
82.85,6.70682
82.8,6.79708
82.75,6.89561
82.7,6.99906
82.65,7.10458
82.6,7.21009
82.55,7.31406
82.5,7.4144
82.45,7.51009
82.4,7.59854
82.35,7.6782
82.3,7.74673
82.25,7.80311
82.2,7.84759
82.15,7.88096
82.1,7.90372
82.05,7.91716
82,7.92156
81.95,7.91742
81.9,7.90527
81.85,7.88561
81.8,7.85949
81.75,7.82768
81.7,7.7907
81.65,7.74984
81.6,7.70458
81.55,7.65466
81.5,7.60009
81.45,7.54113
81.4,7.48035
81.35,7.42009
81.3,7.36397
81.25,7.31406
81.2,7.27139
81.15,7.23699
81.1,7.21139
81.05,7.19432
81,7.1832
80.95,7.17544
80.9,7.16742
80.85,7.15656
80.8,7.14027
80.75,7.11751
80.7,7.08596
80.65,7.04483
80.6,6.99544
80.55,6.94087
80.5,6.88294
80.45,6.82475
80.4,6.7694
80.35,6.72027
80.3,6.68121
80.25,6.65483
80.2,6.64216
80.15,6.64294
80.1,6.65742
80.05,6.68535
80,6.72492
79.95,6.77483
79.9,6.83277
79.85,6.89742
79.8,6.96777
79.75,7.0438
79.7,7.12501
79.65,7.20984
79.6,7.29415
79.55,7.37328
79.5,7.44234
79.45,7.49665
79.4,7.53621
79.35,7.56078
79.3,7.57087
79.25,7.56699
79.2,7.55354
79.15,7.5357
79.1,7.51785
79.05,7.50415
79,7.49302
78.95,7.48165
78.9,7.46742
78.85,7.44802
78.8,7.42397
78.75,7.39578
78.7,7.36449
78.65,7.33139
78.6,7.29828
78.55,7.26751
78.5,7.2419
78.45,7.22328
78.4,7.21242
78.35,7.21009
78.3,7.21708
78.25,7.23363
78.2,7.25897
78.15,7.29156
78.1,7.33035
78.05,7.37406
78,7.41932
77.95,7.46225
77.9,7.49975
77.85,7.5282
77.8,7.54785
77.75,7.55846
77.7,7.56053
77.65,7.55432
77.6,7.54035
77.55,7.51966
