#Daily/Hourly Sums represent an integration over time. Basically by summing the readings over the number of seconds in the measurement period, the units of radiant power are converted to radiant energy and are useful for studying effects related to exposure. Current available values are Caldwell biological spectral weighting function, Flint biological spectral weighting function, erythemally weighted irradiance, UV-A irradiance, and UV-B irradiance and spectral weighting function Vitamin D.
#Location: North Carolina,Raleigh
#Latitude: 35.728000 N
#Longitude: 78.680000 W
#Elevation: 120 m
#Internal ID: NC02
#Local Standard Date Time: YYYY-MM-DD
#Local Day of year: DOY
#Sums: UVA (J/(m^2 day/hour)), UVB (J/(m^2 day/hour)), Erythemal (J/(m^2 day/hour)), Flint (J/(m^2 day/hour)), Caldwell (J/(m^2 day/hour)), Vitamin D (J/(m^2 day/hour))
ID  ,Date      ,DOY,       UVA,       UVB, Erythemal,     Flint,  Caldwell, Vitamin D
NC02,2023-01-01,  1,668900.000,  8463.300,  1029.900,  5267.100,  1101.600,  1682.100
NC02,2023-01-02,  2,600630.000,  7837.600,   949.940,  4853.900,  1062.300,  1596.200
NC02,2023-01-03,  3,544770.000,  7598.700,   916.410,  4700.900,  1026.000,  1544.100
NC02,2023-01-04,  4,195680.000,  2910.400,   343.380,  1778.000,   399.980,   597.290
NC02,2023-01-05,  5,567950.000,  7386.900,   898.270,  4600.800,   973.020,  1477.900
NC02,2023-01-06,  6,587890.000,  7418.200,   910.840,  4721.700,   881.560,  1399.400
NC02,2023-01-07,  7,358150.000,  4569.900,   545.080,  2862.200,   562.820,   877.150
NC02,2023-01-08,  8,110220.000,  1692.400,   196.150,  1055.100,   195.020,   312.530
NC02,2023-01-09,  9,553100.000,  6978.900,   858.470,  4465.700,   825.180,  1311.900
NC02,2023-01-10, 10,509040.000,  6739.500,   832.360,  4356.500,   781.460,  1255.800
NC02,2023-01-11, 11,650810.000,  8215.700,  1021.500,  5259.700,  1035.300,  1605.300
NC02,2023-01-12, 12,274480.000,  3560.500,   432.230,  2263.600,   435.070,   682.000
NC02,2023-01-13, 13,495420.000,  5552.100,   702.460,  3641.500,   601.980,   996.740
NC02,2023-01-14, 14,145260.000,  2096.500,   252.180,  1354.300,   197.620,   347.610
NC02,2023-01-15, 15,595040.000,  7530.600,   942.780,  4829.900,   915.550,  1442.800
NC02,2023-01-16, 16,584110.000,  8085.700,  1005.700,  5179.300,   995.400,  1561.300
NC02,2023-01-17, 17,127910.000,  2312.700,   268.100,  1429.500,   282.910,   443.430
NC02,2023-01-18, 18,618060.000,  8741.500,  1076.500,  5481.500,  1191.900,  1791.700
NC02,2023-01-19, 19,504200.000,  7348.300,   899.680,  4561.000,  1044.000,  1544.700
NC02,2023-01-20, 20,693540.000,  9841.200,  1220.600,  6179.400,  1354.200,  2028.800
NC02,2023-01-21, 21,752920.000,  9750.000,  1204.800,  6130.800,  1288.900,  1959.600
NC02,2023-01-22, 22,106730.000,  1877.000,   219.700,  1168.800,   232.540,   362.280
NC02,2023-01-23, 23,589970.000,  8530.300,  1041.500,  5359.000,  1130.900,  1717.100
NC02,2023-01-24, 24,796320.000, 11261.000,  1387.300,  7076.500,  1509.600,  2283.700
NC02,2023-01-25, 25,106220.000,  1932.000,   226.500,  1185.900,   261.020,   392.920
NC02,2023-01-26, 26,809000.000, 10715.000,  1334.400,  6666.700,  1578.400,  2305.200
NC02,2023-01-27, 27,869470.000, 11662.000,  1449.400,  7258.100,  1691.300,  2484.000
NC02,2023-01-28, 28,811500.000, 11363.000,  1394.900,  7099.600,  1543.600,  2322.300
NC02,2023-01-29, 29,735220.000, 10681.000,  1325.100,  6581.500,  1635.300,  2356.700
NC02,2023-01-30, 30,591160.000,  8822.900,  1091.500,  5424.100,  1367.800,  1962.400
NC02,2023-01-31, 31,216400.000,  3565.400,   424.790,  2188.800,   506.570,   748.280
NC02,2023-02-01, 32,297620.000,  4456.500,   542.180,  2714.100,   683.920,   983.520
NC02,2023-02-02, 33,228970.000,  4393.800,   529.450,  2675.700,   677.140,   973.120
NC02,2023-02-03, 34,711820.000, 10913.000,  1325.100,  6756.300,  1532.100,  2275.400
NC02,2023-02-04, 35,865700.000, 12734.000,  1560.800,  7918.900,  1769.700,  2640.300
NC02,2023-02-05, 36,356540.000,  5675.900,   680.240,  3566.100,   708.730,  1103.600
NC02,2023-02-06, 37,711740.000, 10073.000,  1243.800,  6278.300,  1392.300,  2082.100
NC02,2023-02-07, 38,777030.000, 11817.000,  1454.500,  7227.400,  1793.600,  2591.400
NC02,2023-02-08, 39,819710.000, 12858.000,  1573.600,  7790.800,  1990.100,  2854.500
NC02,2023-02-09, 40,576100.000, 10752.000,  1309.000,  6490.800,  1711.900,  2433.000
NC02,2023-02-10, 41,740820.000, 13664.000,  1661.000,  8276.100,  2120.700,  3040.200
NC02,2023-02-11, 42,492290.000,  9966.000,  1198.500,  6008.600,  1562.000,  2230.900
NC02,2023-02-12, 43,225570.000,  4215.000,   504.060,  2574.200,   608.110,   894.490
